,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
119,0.876,1,0.788,1,-4.232,0.0584,0.013,8.49e-06,0.149,0.588,101.997,214187,0ic0ynfoiccdhKdN0ZhC1c,Em Chua 18,Will,Em Chua 18,0ic0ynfoiccdhKdN0ZhC1c
120,0.779,0,0.511,9,-4.671,0.0369,0.443,0.0,0.0865,0.365,117.93,252607,4aI4GFDfjidU9kFw41fYP4,Ai Đã Khiến Em Như Vậy,Andree Right Hand,Sleep Less Work More,4aI4GFDfjidU9kFw41fYP4
121,0.396,1,0.35,3,-6.911,0.0297,0.91,2.88e-06,0.0915,0.399,144.131,282070,7g9FwWN2UWX4YMThHlwrpy,,Various Artists,,7g9FwWN2UWX4YMThHlwrpy
122,0.781,1,0.792,0,-3.066,0.0452,0.615,0.0,0.0893,0.633,122.002,211475,0A2kGqgF2EVsjIGXnFo3eI,Lalala,SOOBIN,Lalala,0A2kGqgF2EVsjIGXnFo3eI
123,0.479,1,0.463,1,-6.311,0.0324,0.608,0.0,0.0978,0.382,171.633,273117,76oeMtC3wD72wfak8ddzsB,"Yeu La Tha Thu (From ""Em Chua 18"")",Only C,"Yeu La Tha Thu (From ""Em Chua 18"")",76oeMtC3wD72wfak8ddzsB
124,0.678,1,0.817,7,-3.607,0.0308,0.143,0.0,0.222,0.519,100.031,247182,35u5JpPLvNQJN2Vddi4ezz,Ghen,MIN,Ghen,35u5JpPLvNQJN2Vddi4ezz
125,0.661,1,0.649,3,-6.844,0.0582,0.582,0.0,0.104,0.36,95.025,240040,6tJqeWYiWTxwRdXMzly9CL,LOVE 5,Rhymastic,LOVE 5,6tJqeWYiWTxwRdXMzly9CL
126,0.724,0,0.668,6,-4.035,0.058,0.555,1.57e-06,0.194,0.427,135.046,170667,6hUpxEKFSjS8metuA1yxlf,Vai Lan Don Dua,SOOBIN,Vai Lan Don Dua,6hUpxEKFSjS8metuA1yxlf
127,0.456,0,0.343,5,-7.135,0.0274,0.846,5.64e-06,0.113,0.331,145.937,275477,4t6jh6az9ZMUZNVXPnRjAg,Chưa Bao Giờ,Trung Quân,Chưa Bao Giờ,4t6jh6az9ZMUZNVXPnRjAg
128,0.5,1,0.575,8,-4.737,0.0344,0.746,0.0,0.0762,0.222,145.722,289275,1AomonGQcgcVdEHS6ADCjj,Em Không Là Duy Nhất,Tóc Tiên,Em Không Là Duy Nhất,1AomonGQcgcVdEHS6ADCjj
129,0.365,0,0.414,9,-6.822,0.0282,0.571,0.0,0.0989,0.423,149.588,270189,4Hxyg3w88OBbgEyd25LsLR,Tim Duoc Nhau Kho The Nao,Mr.Siro,Nuoc Mat Va Em,4Hxyg3w88OBbgEyd25LsLR
130,0.77,1,0.324,1,-11.529,0.0393,0.598,0.0,0.135,0.271,109.992,271673,515TcemcA4AEUV6RkRJrPw,Nắm Lấy Tay Anh,Tuấn Hưng,Những Ca Khúc Hay Nhất Của Tuấn Hưng Phần 2,515TcemcA4AEUV6RkRJrPw
131,0.463,0,0.42,11,-6.34,0.0386,0.885,0.0,0.335,0.289,126.017,314286,1FEYIRv47NbccWoc2jqlaz,Cho Em Gan Anh Them Chut Nua,Huong Tram,Cho Em Gan Anh Them Chut Nua,1FEYIRv47NbccWoc2jqlaz
132,0.322,0,0.421,6,-7.92,0.0375,0.913,5.97e-05,0.108,0.157,138.709,202181,4xeT7iu61KGhT3FgJqjvRZ,Cớ Sao Giờ Lại Chia Xa,Bich Phuong,Cớ Sao Giờ Lại Chia Xa,4xeT7iu61KGhT3FgJqjvRZ
133,0.651,1,0.472,3,-10.503,0.0255,0.714,3.4e-05,0.0958,0.305,110.022,211342,3MsTWmqFHaXoQBivMNZrpL,Khi Ta Co Nhau,Will,Khi Ta Co Nhau,3MsTWmqFHaXoQBivMNZrpL
134,0.601,1,0.525,1,-7.968,0.0596,0.276,0.000449,0.257,0.303,79.757,218965,3pRWiFijX5tXR9QWRTp5WO,Noi Ta Cho Em,Will,Noi Ta Cho Em,3pRWiFijX5tXR9QWRTp5WO
135,0.474,0,0.405,5,-7.97,0.0361,0.806,1.67e-06,0.132,0.373,167.972,267024,2KUWzqwkPGX2Mt35DVNYNQ,Tình Yêu Chắp Vá,Mr.Siro,Mr Siro - Gương Mặt Lạ Lẫm,2KUWzqwkPGX2Mt35DVNYNQ
136,0.543,0,0.447,0,-7.996,0.0295,0.784,0.0,0.106,0.326,134.884,249513,16RG22DodPxpUa0gx2BAUd,Xin Dung Lang Im,SOOBIN,Xin Dung Lang Im,16RG22DodPxpUa0gx2BAUd
137,0.716,0,0.549,0,-5.086,0.0304,0.507,1.56e-06,0.164,0.556,100.01,218400,0ZP4bO2ywAv44HiEzzHaq5,Ngày Mai Em Đi,Lê Hiếu,Ngày Mai Em Đi,0ZP4bO2ywAv44HiEzzHaq5
138,0.586,1,0.481,1,-6.833,0.0286,0.76,0.0,0.131,0.506,124.077,265161,2QaXs3X5JLevVYLVUbilkI,Còn Gì Giữa Chúng Ta,Miu Lê,Còn Gì Giữa Chúng Ta,2QaXs3X5JLevVYLVUbilkI
139,0.459,0,0.417,0,-7.663,0.0281,0.608,0.0,0.242,0.391,145.95,282985,5JIqsSyeIjPWRvrSxIrNWv,,Various Artists,,5JIqsSyeIjPWRvrSxIrNWv
140,0.783,1,0.335,5,-10.811,0.0389,0.782,0.000687,0.115,0.346,114.996,235832,0uv4HphFFoEn1LVZQ806Fy,Anh Đã Quen Với Cô Đơn,SOOBIN,Anh Đã Quen Với Cô Đơn,0uv4HphFFoEn1LVZQ806Fy
141,0.505,1,0.446,7,-6.315,0.0327,0.887,0.0,0.354,0.456,147.836,323624,0ctsrNe9eGJziUmOgvTY4Z,Em Gai Mua,Huong Tram,Em Gai Mua,0ctsrNe9eGJziUmOgvTY4Z
